A_M;Infl_anual_porc;;;;;;;;
1/05/2000;10;;;;;;;;
1/06/2000;9.68;;;;;;;;
1/07/2000;9.29;;;;;;;;
1/08/2000;9.1;;;;;;;;
1/09/2000;9.2;;;;;;;;
1/10/2000;8.99;;;;;;;;
1/11/2000;8.82;;;;;;;;
1/12/2000;8.75;;;;;;;;
1/01/2001;8.49;;;;;;;;
1/02/2001;8.06;;;;;;;;
1/03/2001;7.81;;;;;;;;
1/04/2001;7.98;;;;;;;;
1/05/2001;7.87;;;;;;;;
1/06/2001;7.93;;;;;;;;
1/07/2001;8.09;;;;;;;;
1/08/2001;8.03;;;;;;;;
1/09/2001;7.97;;;;;;;;
1/10/2001;8.01;;;;;;;;
1/11/2001;7.78;;;;;;;;
1/12/2001;7.65;;;;;;;;
1/01/2002;7.37;;;;;;;;
1/02/2002;6.7;;;;;;;;
1/03/2002;5.89;;;;;;;;
1/04/2002;5.65;;;;;;;;
1/05/2002;5.84;;;;;;;;
1/06/2002;6.25;;;;;;;;
1/07/2002;6.16;;;;;;;;
1/08/2002;5.98;;;;;;;;
1/09/2002;5.97;;;;;;;;
1/10/2002;6.37;;;;;;;;
1/11/2002;7.07;;;;;;;;
1/12/2002;6.99;;;;;;;;
1/01/2003;7.39;;;;;;;;
1/02/2003;7.24;;;;;;;;
1/03/2003;7.6;;;;;;;;
1/04/2003;7.85;;;;;;;;
1/05/2003;7.73;;;;;;;;
1/06/2003;7.21;;;;;;;;
1/07/2003;7.04;;;;;;;;
1/08/2003;7.26;;;;;;;;
1/09/2003;7.11;;;;;;;;
1/10/2003;6.58;;;;;;;;
1/11/2003;6.13;;;;;;;;
1/12/2003;6.49;;;;;;;;
1/01/2004;6.19;;;;;;;;
1/02/2004;6.28;;;;;;;;
1/03/2004;6.21;;;;;;;;
1/04/2004;5.49;;;;;;;;
1/05/2004;5.37;;;;;;;;
1/06/2004;6.07;;;;;;;;
1/07/2004;6.19;;;;;;;;
1/08/2004;5.89;;;;;;;;
1/09/2004;5.97;;;;;;;;
1/10/2004;5.9;;;;;;;;
1/11/2004;5.82;;;;;;;;
1/12/2004;5.5;;;;;;;;
1/01/2005;5.43;;;;;;;;
1/02/2005;5.25;;;;;;;;
1/03/2005;5.03;;;;;;;;
1/04/2005;5.01;;;;;;;;
1/05/2005;5.04;;;;;;;;
1/06/2005;4.83;;;;;;;;
1/07/2005;4.91;;;;;;;;
1/08/2005;4.88;;;;;;;;
1/09/2005;5.02;;;;;;;;
1/10/2005;5.27;;;;;;;;
1/11/2005;5.1;;;;;;;;
1/12/2005;4.85;;;;;;;;
1/01/2006;4.56;;;;;;;;
1/02/2006;4.19;;;;;;;;
1/03/2006;4.11;;;;;;;;
1/04/2006;4.12;;;;;;;;
1/05/2006;4.04;;;;;;;;
1/06/2006;3.94;;;;;;;;
1/07/2006;4.32;;;;;;;;
1/08/2006;4.72;;;;;;;;
1/09/2006;4.58;;;;;;;;
1/10/2006;4.19;;;;;;;;
1/11/2006;4.31;;;;;;;;
1/12/2006;4.48;;;;;;;;
1/01/2007;4.71;;;;;;;;
1/02/2007;5.25;;;;;;;;
1/03/2007;5.78;;;;;;;;
1/04/2007;6.26;;;;;;;;
1/05/2007;6.23;;;;;;;;
1/06/2007;6.03;;;;;;;;
1/07/2007;5.77;;;;;;;;
1/08/2007;5.22;;;;;;;;
1/09/2007;5.01;;;;;;;;
1/10/2007;5.16;;;;;;;;
1/11/2007;5.41;;;;;;;;
1/12/2007;5.69;;;;;;;;
1/01/2008;6;;;;;;;;
1/02/2008;6.35;;;;;;;;
1/03/2008;5.93;;;;;;;;
1/04/2008;5.73;;;;;;;;
1/05/2008;6.39;;;;;;;;
1/06/2008;7.18;;;;;;;;
1/07/2008;7.52;;;;;;;;
1/08/2008;7.87;;;;;;;;
1/09/2008;7.57;;;;;;;;
1/10/2008;7.94;;;;;;;;
1/11/2008;7.73;;;;;;;;
1/12/2008;7.67;;;;;;;;
1/01/2009;7.18;;;;;;;;
1/02/2009;6.47;;;;;;;;
1/03/2009;6.14;;;;;;;;
1/04/2009;5.73;;;;;;;;
1/05/2009;4.77;;;;;;;;
1/06/2009;3.81;;;;;;;;
1/07/2009;3.28;;;;;;;;
1/08/2009;3.13;;;;;;;;
1/09/2009;3.21;;;;;;;;
1/10/2009;2.72;;;;;;;;
1/11/2009;2.37;;;;;;;;
1/12/2009;2;;;;;;;;
1/01/2010;2.1;;;;;;;;
1/02/2010;2.09;;;;;;;;
1/03/2010;1.84;;;;;;;;
1/04/2010;1.98;;;;;;;;
1/05/2010;2.07;;;;;;;;
1/06/2010;2.25;;;;;;;;
1/07/2010;2.24;;;;;;;;
1/08/2010;2.31;;;;;;;;
1/09/2010;2.28;;;;;;;;
1/10/2010;2.33;;;;;;;;
1/11/2010;2.59;;;;;;;;
1/12/2010;3.17;;;;;;;;
1/01/2011;3.4;;;;;;;;
1/02/2011;3.17;;;;;;;;
1/03/2011;3.19;;;;;;;;
1/04/2011;2.84;;;;;;;;
1/05/2011;3.02;;;;;;;;
1/06/2011;3.23;;;;;;;;
1/07/2011;3.42;;;;;;;;
1/08/2011;3.27;;;;;;;;
1/09/2011;3.73;;;;;;;;
1/10/2011;4.02;;;;;;;;
1/11/2011;3.96;;;;;;;;
1/12/2011;3.73;;;;;;;;
1/01/2012;3.54;;;;;;;;
1/02/2012;3.55;;;;;;;;
1/03/2012;3.4;;;;;;;;
1/04/2012;3.43;;;;;;;;
1/05/2012;3.44;;;;;;;;
1/06/2012;3.2;;;;;;;;
1/07/2012;3.03;;;;;;;;
1/08/2012;3.11;;;;;;;;
1/09/2012;3.08;;;;;;;;
1/10/2012;3.06;;;;;;;;
1/11/2012;2.77;;;;;;;;
1/12/2012;2.44;;;;;;;;
1/01/2013;2;;;;;;;;
1/02/2013;1.83;;;;;;;;
1/03/2013;1.91;;;;;;;;
1/04/2013;2.02;;;;;;;;
1/05/2013;2;;;;;;;;
1/06/2013;2.16;;;;;;;;
1/07/2013;2.22;;;;;;;;
1/08/2013;2.27;;;;;;;;
1/09/2013;2.27;;;;;;;;
1/10/2013;1.84;;;;;;;;
1/11/2013;1.76;;;;;;;;
1/12/2013;1.94;;;;;;;;
1/01/2014;2.13;;;;;;;;
1/02/2014;2.32;;;;;;;;
1/03/2014;2.51;;;;;;;;
1/04/2014;2.72;;;;;;;;
1/05/2014;2.93;;;;;;;;
1/06/2014;2.79;;;;;;;;
1/07/2014;2.89;;;;;;;;
1/08/2014;3.02;;;;;;;;
1/09/2014;2.86;;;;;;;;
1/10/2014;3.29;;;;;;;;
1/11/2014;3.65;;;;;;;;
1/12/2014;3.66;;;;;;;;
1/01/2015;3.82;;;;;;;;
1/02/2015;4.36;;;;;;;;
1/03/2015;4.56;;;;;;;;
1/04/2015;4.64;;;;;;;;
1/05/2015;4.41;;;;;;;;
1/06/2015;4.42;;;;;;;;
1/07/2015;4.46;;;;;;;;
1/08/2015;4.74;;;;;;;;
1/09/2015;5.35;;;;;;;;
1/10/2015;5.89;;;;;;;;
1/11/2015;6.39;;;;;;;;
1/12/2015;6.77;;;;;;;;
1/01/2016;7.45;;;;;;;;
1/02/2016;7.59;;;;;;;;
1/03/2016;7.98;;;;;;;;
1/04/2016;7.93;;;;;;;;
1/05/2016;8.2;;;;;;;;
1/06/2016;8.6;;;;;;;;
1/07/2016;8.97;;;;;;;;
1/08/2016;8.1;;;;;;;;
