Fecha;TRM
17/03/2021;$ 3,553.51
18/03/2021;$ 3,578.02
19/03/2021;$ 3,569.45
20/03/2021;$ 3,553.34
21/03/2021;$ 3,553.34
22/03/2021;$ 3,553.34
23/03/2021;$ 3,553.34
24/03/2021;$ 3,589.82
25/03/2021;$ 3,635.12
26/03/2021;$ 3,658.22
27/03/2021;$ 3,665.41
28/03/2021;$ 3,665.41
29/03/2021;$ 3,665.41
30/03/2021;$ 3,705.85
31/03/2021;$ 3,736.91
01/04/2021;$ 3,678.62
02/04/2021;$ 3,678.62
03/04/2021;$ 3,678.62
04/04/2021;$ 3,678.62
05/04/2021;$ 3,678.62
06/04/2021;$ 3,645.79
07/04/2021;$ 3,645.14
08/04/2021;$ 3,639.62
09/04/2021;$ 3,634.07
10/04/2021;$ 3,650.23
11/04/2021;$ 3,650.23
12/04/2021;$ 3,650.23
13/04/2021;$ 3,653.57
14/04/2021;$ 3,666.17
15/04/2021;$ 3,665.49
16/04/2021;$ 3,620.40
17/04/2021;$ 3,595.57
18/04/2021;$ 3,595.57
19/04/2021;$ 3,595.57
20/04/2021;$ 3,606.42
21/04/2021;$ 3,636.26
22/04/2021;$ 3,639.12
23/04/2021;$ 3,630.81
24/04/2021;$ 3,640.07
25/04/2021;$ 3,640.07
26/04/2021;$ 3,640.07
27/04/2021;$ 3,659.62
28/04/2021;$ 3,717.46
29/04/2021;$ 3,699.74
30/04/2021;$ 3,712.89
01/05/2021;$ 3,740.14
02/05/2021;$ 3,740.14
03/05/2021;$ 3,740.14
04/05/2021;$ 3,816.65
05/05/2021;$ 3,831.35
06/05/2021;$ 3,846.28
07/05/2021;$ 3,800.33
08/05/2021;$ 3,765.33
09/05/2021;$ 3,765.33
10/05/2021;$ 3,765.33
11/05/2021;$ 3,714.94
12/05/2021;$ 3,703.20
13/05/2021;$ 3,734.09
14/05/2021;$ 3,728.09
15/05/2021;$ 3,682.84
16/05/2021;$ 3,682.84
17/05/2021;$ 3,682.84
18/05/2021;$ 3,682.84
19/05/2021;$ 3,655.74
20/05/2021;$ 3,682.66
21/05/2021;$ 3,721.57
22/05/2021;$ 3,738.19
23/05/2021;$ 3,738.19
24/05/2021;$ 3,738.19
25/05/2021;$ 3,750.66
26/05/2021;$ 3,735.41
27/05/2021;$ 3,747.48
28/05/2021;$ 3,729.02
29/05/2021;$ 3,715.28
30/05/2021;$ 3,715.28
31/05/2021;$ 3,715.28
01/06/2021;$ 3,715.28
02/06/2021;$ 3,671.38
03/06/2021;$ 3,642.29
04/06/2021;$ 3,657.41
05/06/2021;$ 3,609.20
06/06/2021;$ 3,609.20
07/06/2021;$ 3,609.20
08/06/2021;$ 3,609.20
09/06/2021;$ 3,597.18
10/06/2021;$ 3,588.41
11/06/2021;$ 3,589.86
12/06/2021;$ 3,626.02
13/06/2021;$ 3,626.02
14/06/2021;$ 3,626.02
