Fecha;Excepción;Plazo real;IBR
31/03/2021;N;5;1,720
30/03/2021;N;1;1,726
29/03/2021;N;1;1,715
26/03/2021;N;3;1,718
25/03/2021;N;1;1,718
24/03/2021;N;1;1,718
23/03/2021;N;1;1,708
19/03/2021;N;4;1,710
18/03/2021;N;1;1,706
17/03/2021;N;1;1,692
16/03/2021;N;1;1,666
15/03/2021;N;1;1,650
12/03/2021;N;3;1,656
11/03/2021;N;1;1,706
10/03/2021;N;1;1,717
09/03/2021;N;1;1,724
08/03/2021;N;1;1,730
05/03/2021;N;3;1,735
04/03/2021;N;1;1,732
03/03/2021;N;1;1,730
02/03/2021;N;1;1,730
01/03/2021;N;1;1,734
26/02/2021;N;3;1,737
25/02/2021;N;1;1,744
24/02/2021;N;1;1,746
23/02/2021;N;1;1,746
22/02/2021;N;1;1,749
19/02/2021;N;3;1,750
18/02/2021;N;1;1,750
17/02/2021;N;1;1,750
16/02/2021;N;1;1,750
15/02/2021;N;1;1,751
12/02/2021;N;3;1,751
11/02/2021;N;1;1,750
10/02/2021;N;1;1,750
09/02/2021;N;1;1,751
08/02/2021;N;1;1,751
05/02/2021;N;3;1,751
04/02/2021;N;1;1,750
03/02/2021;N;1;1,751
02/02/2021;N;1;1,751
01/02/2021;N;1;1,750
29/01/2021;N;3;1,744
28/01/2021;N;1;1,745
27/01/2021;N;1;1,743
26/01/2021;N;1;1,739
25/01/2021;N;1;1,737
22/01/2021;N;3;1,734
21/01/2021;N;1;1,731
20/01/2021;N;1;1,729
19/01/2021;N;1;1,732
18/01/2021;N;1;1,736
15/01/2021;N;3;1,730
14/01/2021;N;1;1,731
13/01/2021;N;1;1,731
12/01/2021;N;1;1,733
08/01/2021;N;4;1,728
07/01/2021;N;1;1,729
06/01/2021;N;1;1,723
05/01/2021;N;1;1,724
04/01/2021;N;1;1,735
30/12/2020;N;5;1,740
29/12/2020;N;1;1,745
28/12/2020;N;1;1,751
24/12/2020;N;4;1,750
23/12/2020;N;1;1,751
22/12/2020;N;1;1,750
21/12/2020;N;1;1,750
18/12/2020;N;3;1,750
17/12/2020;N;1;1,750
16/12/2020;N;1;1,752
15/12/2020;N;1;1,751
14/12/2020;N;1;1,749
11/12/2020;N;3;1,750
10/12/2020;N;1;1,750
09/12/2020;N;1;1,752
07/12/2020;N;2;1,755
04/12/2020;N;3;1,752
03/12/2020;N;1;1,752
02/12/2020;N;1;1,752
01/12/2020;N;1;1,751
30/11/2020;N;1;1,750
27/11/2020;N;3;1,750
26/11/2020;N;1;1,751
25/11/2020;N;1;1,750
24/11/2020;N;1;1,743
23/11/2020;N;1;1,748
20/11/2020;N;3;1,748
19/11/2020;N;1;1,746
18/11/2020;N;1;1,739
17/11/2020;N;1;1,748
13/11/2020;N;4;1,746
12/11/2020;N;1;1,746
11/11/2020;N;1;1,748
10/11/2020;N;1;1,751
09/11/2020;N;1;1,746
06/11/2020;N;3;1,735
05/11/2020;N;1;1,743
04/11/2020;N;1;1,744
03/11/2020;N;1;1,746
30/10/2020;N;4;1,743
29/10/2020;N;1;1,746
28/10/2020;N;1;1,748
27/10/2020;N;1;1,750
26/10/2020;N;1;1,749
23/10/2020;N;3;1,747
22/10/2020;N;1;1,749
21/10/2020;N;1;1,751
20/10/2020;N;1;1,751
19/10/2020;N;1;1,750
16/10/2020;N;3;1,750
15/10/2020;N;1;1,749
14/10/2020;N;1;1,747
13/10/2020;N;1;1,744
09/10/2020;N;4;1,741
08/10/2020;N;1;1,749
07/10/2020;N;1;1,744
06/10/2020;N;1;1,747
05/10/2020;N;1;1,751
02/10/2020;N;3;1,752
01/10/2020;N;1;1,750
30/09/2020;N;1;1,756
29/09/2020;N;1;1,757
28/09/2020;N;1;1,753
25/09/2020;N;3;2,001
24/09/2020;N;1;1,999
23/09/2020;N;1;1,997
